Title,Location,Salary,Job Type1,Job Type2,Job Type3,Job Description
We are hiring tutors all over the Pakistan.,Gujranwala,"Rs 25,000 - Rs 50,000 a month",Full-time,Part-time,New-Grad,"['Pen tutor is hiring tutors from all over the Pakistan.', 'We provide hone tuitions and teaching jobs to the teacher.', ""We don't have any registration fee."", 'Kindly join us and earn handsome amount.', 'Job Types: Full-time, Part-time, Fresher', 'Pay: Rs25,000.00 - Rs50,000.00 per month', 'Expected hours: 20 per week']"
Admission Manager,Gujranwala,"Rs 29,878 - Rs 95,292 a month",Full-time,,,"['Admissions Officer Job Description', ""AHZ is one of the best UK University representatives promoting the UK's higher education globally through 47 branches and 600+ employees from all over the world, You will be excited to join the multinational company and explore your career."", 'POSITION OVERVIEW', 'PURPOSE OF ROLE', 'Reporting to the Head of Admissions, you will assist with the end-to-end admissions process for applications, from first contact to enrolment. You will be the initial point of contact for applicants, which will include supporting prospective students in making their application through participation in events, presentations and personal telephone, email and web chat support. You will work closely with other members of the admissions team and with academic colleagues to ensure an efficient and fair application process for all applicants.', 'DUTIES AND RESPONSIBILITES ADMISSIONS', '· To process and manage admissions applications, via the application portal in conjunction with colleagues in the admissions team and academic faculty.', '· To undertake a range of applicant support activities, including telephone call campaigns, emails, web chats, and personal consultations.', '· To undertake admissions-focused presentations and other recruitment related activities, including providing guidance on writing personal statements, submitting competitive applications, etc.', '· To offer high-quality customer service to all applicants, at all stages of the application process.', '· Liaise with applicants and their nominated advisers or family, to guide them through the application process, ensuring that they have all the information they require regarding the process, programmes and the College.', '· To ensure all student recruitment/admissions practices comply with all current internal and external admissions and quality assurance policies.', '· To manage student data in compliance with GDPR.', '· To gather applicants’ references and supporting documents.', '· Liaise with other members of the team and academics, to ensure prompt and complete academic consideration of each applicant.', '· To liaise with the Registrar, academics and external stakeholders to ascertain recognition of prior learning where required.', '· Track decisions on whether to interview, arrange interviews, support applicants on interview day and coordinate post-interview feedback.', '· To provide support to the team with internal recruitment events, such as - Open Days/Taster Days, interview days, etc.', 'OTHER DUTIES', 'To undertake any other duties commensurate with the level of responsibility of this post, for which the post holder has the necessary experience and/or training.', 'To provide support to the Visa & Compliance Team with the relevant checks prior to enrolment.', 'To foster a positive work environment with a good team spirit, including the wider admissions, recruitment and marketing team and all other departments.', 'QUALIFICATIONS AND EXPERIENCE KNOWLEDGE, SKILLS & ABILITIES', 'Essential:', 'Ability to work as part of a team and independently', 'Excellent written and oral communication skills', 'Well-developed organisational skills and time management skills, including the ability to prioritise and manage workload', 'Ability to empathise and develop rapport with individuals applying to the College', 'Diplomatic influencing and relationship-building skills, to work with others and to convert initial enquiries into successful enrolments', 'A high level of attention to detail and accuracy', 'Knowledge and understanding of UK Higher Education and an intrinsic belief in the value of Higher Education', 'Knowledge of the application process.', 'Knowledge of admissions in a UK university', 'Experience of working with customers face-to-face, digitally and over the phone', 'High level skills to identify the documentations and IELTS and Personal statements.', 'Desirable:', 'Experience presenting and conducting telephone campaigns', 'Recent experience of processing Tier 4 applications and applying the UKVI regulations, including checking applicants’ documentation.', 'EDUCATION, QUALIFICATIONS AND TRAINING', 'Desirable:', 'Good undergraduate degree', 'APPLICATION PROCESS', 'Applications must include a cover letter of no more than one page and a full curriculum vitae.', 'Due to the urgency of this role, applications will be reviewed on receipt and it is likely that an appointment will be made prior to the closing date of this job advert. Applicants are therefore encouraged to submit applications at the earliest opportunity.', 'Job Type: Full-time', 'Pay: Rs29,878.06 - Rs95,292.37 per month', 'Experience:']"
Education Counselor,Gujranwala,"Rs 40,000 - Rs 60,000 a month",Full-time,,,"['AHZ is a proud leading representative promoting the UK higher education globally, having 600+ employees in 17 different countries in 47 branches. This is an excellent platform and provides the best working environment for academic counselling and supporting the students to counsel them for UK higher education. Please visit www.ahzassociates.co.uk for more information. We are pleased to inform you that we are opening our 10th Branch In Pakistan in Gujranwala.', ""This is a full-time on-site role located in Gujranwalal for an educational Counselor position. As an Educational Counselor, you will be responsible for advising students on their educational options and assisting them with the right options. You will also be expected to provide guidance and support for students' academic, personal, and professional development."", 'Key Sills Require:', 'Tele Counselling, Counselling the walk-ins students. based on their Academic and Career profile, shortlist the UK universities and Convert them as an applicant.', '2) Communicate with the universities/Backend Application team for the admission process.', '3) Regular student follow-up. Maintaining all records of existing and prospect clients in the CRM system.', '4) Maintaining cordial relations with the students throughout the process by clearing their doubts and queries.', '5) Explaining the advantages of the UK Universities and guiding them for future career options.', '6) Participating in University events.', '7) Coordinating with the team to make student appointments for the university visits.', '8) Monitoring & reporting to senior managers on the effectiveness of strategies/campaigns.', '9) Support execution of the destination-wise activity calendars to deliver pipeline leads and conversion targets by intake.', '10) Meeting targets within the set deadlines.', '11) Be a productive and effective member of the office team and support Office Managers through exhibiting a collaborative operating style thereby building team spirit.', '12) Identifying key marketing opportunities.', '1) Experience of working in an administrative role, with the ability to work independently, Managing your own workload as well as demonstrable experience as working well within a team.', '2) Excellent communication skills in written and verbal. This job requires very good communication skills in English.', '3) Strong knowledge of the destination and international education systems.', '4) Ability to multitask under pressure and meet deadlines.', '5) Visible orientation towards having high-quality service is an integral part of work ethics.', '6) Computer skills including, MS Office, Web browsing', '7) Bachelor’s degree(UK graduates will have more advantage) and 1-2 years of overseas admission counselling experience are preferable', '8) Strong problem-resolution skills.', 'Job Type: Full-time', 'Pay: Rs40,000.00 - Rs60,000.00 per month', 'Education:', 'Language:']"
Mathematics Teacher -Primary,Gujranwala,"Rs 45,000 a month",Full-time,,,"[""LACAS School Network is seeking a dedicated and passionate Primary Maths Teacher to join our vibrant educational team. The ideal candidate will have a strong background in mathematics education and a commitment to fostering a positive and engaging learning environment for young students. As a Primary Maths Teacher, you will play a crucial role in developing students' mathematical skills and promoting a love for learning."", '· Plan, prepare, and deliver effective maths lessons that align with the school curriculum and standards.', '· Use a variety of teaching methods to cater to different learning styles and abilities.', '· Develop and implement engaging activities and resources to enhance mathematical understanding.', ""· Assess students' mathematical skills through formal and informal assessments."", '· Track and report on student progress, providing regular feedback to students and parents.', '· Identify and support students who require additional help or enrichment.', '· Create a positive and inclusive classroom environment conducive to learning.', '· Establish and maintain clear rules and procedures for classroom behavior.', '· Foster a supportive and encouraging atmosphere to motivate students.', '· Work collaboratively with colleagues to plan and coordinate lessons and activities.', '· Participate in staff meetings, professional development sessions, and school events.', '· Stay current with educational research and best practices in maths teaching.', '· Communicate regularly with parents about their child’s progress and any concerns.', '· Encourage parental involvement in their child’s mathematical development.', '-Minimum Bachelor’s degree in Mathematics, Education, or a related field.', '· Previous experience teaching maths at the primary level is preferred.', '· Experience with diverse learning needs and classroom settings.', ':', '· Strong understanding of mathematical concepts and pedagogy.', '· Excellent communication and interpersonal skills.', '· Ability to create engaging and effective lesson plans.', '· Proficient in using technology to enhance teaching and learning.', 'Job Type: Full-time', 'Pay: From Rs45,000.00 per month']"
Supervisor Grocery,Gujranwala,"Rs 40,000 a month",Full-time,,,"['A well known FMCG store needs Supervisor for Grocery Section.', 'Candidates must be Intermediate and having 2-3years experience in the relevant field.', 'Market competitive salary +1time food + residence for outsiders.', 'Interested candidates feel free to drop your resume at the given address.', 'Job Type: Full-time', 'Pay: From Rs40,000.00 per month']"
Bike Hero @ Daraz.PK,Gujranwala,"Rs 27,500 - Rs 60,000 a month",Full-time,Contract,,"['Location: Gujrawala .', 'Qualification: Min Matric max Graduation', 'Requirement: Permanent license Or learner Required', 'Salary: 27500, bike maintenance, Food allowance plus other benefits', '+92-309-8383-002', 'Job Types: Full-time, Contract', 'Contract length: 3 months', 'Pay: Rs27,500.00 - Rs60,000.00 per month']"
Call Representative,Gujranwala,"Rs 35,000 a month",Full-time,,,"['Summary:', 'The Call Representative is responsible for generating new leads and sales by making outbound calls to potential customers. The ideal candidate will have a strong understanding of sales principles and practices and experience with cold calling. The successful candidate will be able to build relationships with potential customers, identify their needs, and close deals.', 'Responsibilities:', 'Qualifications:', 'Benefits:', 'If you are a highly motivated and results-oriented individual with a passion for sales, we encourage you to apply for this exciting opportunity. We are looking for someone who is willing to go the extra mile.', 'Job Type: Full-time', 'Pay: Rs35,000.00 per month', 'Ability to commute/relocate:', 'Experience:']"
Middle School History/Geography Teacher,Gujranwala,"Rs 45,000 a month",Full-time,,,"['LACAS School Network is seeking an enthusiastic and experienced Middle School Teacher specializing in History/Geography to join our dedicated faculty. The ideal candidate will be passionate about fostering a love of learning in young students, creating, engaging and interactive lessons that promote critical thinking and exploration in the fields of History/Geography The Teacher will play a key role in delivering high-quality instruction, facilitating student inquiry, and inspiring a lifelong curiosity about the world.', 'Key Responsibilities:', '1. Develop and implement comprehensive lesson plans and instructional materials for Histry/Geography, tailored to the specific needs and interests of students.', '2. Utilize a variety of teaching strategies, techniques, and resources to actively engage students in learning, including hands-on activities, experiments, multimedia presentations, and field trips.', '3. Create a supportive and inclusive classroom environment where all students feel valued, respected, and encouraged to participate actively in their learning.', '4. Assess student progress and achievement using a variety of assessment tools, including quizzes, tests, projects, and presentations, and provide constructive feedback to students and parents.', '5. Collaborate with colleagues, administrators, and parents to support student learning and development, including participating in team meetings, parent-teacher conferences, and school events.', '6. Integrate technology effectively into instruction, using educational software, interactive whiteboards, and other digital tools to enhance learning and engagement.', '7. Stay current with developments in the fields of History/Geography, including new curriculum standards, teaching methodologies, and educational research, and incorporate best practices into classroom instruction.', '8. Foster a positive attitude towards inquiry, exploration, and critical thinking, encouraging students to ask questions, seek answers, and think critically about the world around them.', '9. Provide support and guidance to students as they develop research, analytical, and problem-solving skills through inquiry-based learning experiences.', '10. Uphold and promote the values, mission, and policies of LACAS School System, including promoting diversity, equity, and inclusion in the classroom and school community.', 'Qualifications:', ""- Bachelor's degree in Education, History/Geography or any related field required; Master's degree preferred."", '- Minimum of 2-3 years of teaching experience in middle school, with a focus on History/Geography is preferred.', '- Strong knowledge and understanding of primary level Science curricula, standards, and best practices.', '- Passion for teaching and inspiring young learners, with excellent communication, presentation, and interpersonal skills.', '- Ability to differentiate instruction to meet the diverse learning needs and styles of students.', '- Commitment to ongoing professional development and growth, including participation in workshops, conferences, and other learning opportunities.', '- Familiarity with educational technology and its integration into classroom instruction.', '- Positive attitude, flexibility, and willingness to collaborate with colleagues and contribute to a positive school culture.', 'Job Type: Full-time', 'Pay: From Rs45,000.00 per month']"
Social Media Intern,Gujranwala,"Rs 30,000 a month",Full-time,Internship,New-Grad,"[""We are seeking a dynamic and motivated Social Media Intern to join our team. As a Social Media Intern, you will play a crucial role in enhancing our online presence and engaging with our audience across various social media platforms. This internship offers an excellent opportunity to gain hands-on experience in social media marketing and contribute to real projects that impact our brand's visibility and growth."", 'Job Types: Full-time, Internship, Fresher', 'Contract length: 6 months', 'Pay: From Rs30,000.00 per month']"
Supervisor Meat,Gujranwala,"Rs 30,000 a month",Full-time,,,"['A well known FMCG store needs Meat supervisor for Meat section for its Gujranwala store.', 'Candidate must be Matric and have 1-2years of experience in the same field.', 'Market competitive salary +1 time food + residence for the outsiders.', 'Interested feel free to drop your resume at given address.', 'Job Type: Full-time', 'Pay: From Rs30,000.00 per month']"
